row	id1	id2	original_target	target	confidence	reason
0	22	128849121617	0.4444444444444444	0	0.75	Разные варианты: во второй карточке указан размер 43 и женский пол, в первой мужская модель без подтверждения размера; различаются материалы подошвы и стельки.
1	50	584115560686	0.5555555555555556	0	0.70	Первая карточка описывает только общий вентилятор без модели и характеристик, поэтому тождество с колонным VNK-29W не подтверждено.
2	61	704374785765	0.4444444444444444	0	0.99	Разное количество: одна бутылка 500 мл против упаковки из 6 бутылок.
3	79	111669176084	0.4444444444444444	0	0.82	Различается конструкция папки: первая без застёжки, во второй явно указан шнур; бренд второй карточки не подтверждён.
4	89	94489387389	0.5555555555555556	0	0.99	Разная ширина столешницы: 780 мм против 800 мм.
5	111	300647810269	0.5555555555555556	1	0.94	Совпадают бренд, спальное место 200×200, габариты, материалы, подъёмный механизм, бельевой короб и состав комплекта.
6	165	240518184887	0.4444444444444444	0	0.99	Разные модификации и цвет чайника: KT-640-1 голубой против KT-640-3 серого.
7	175	42949769858	0.5555555555555556	1	0.97	Совпадают Kukmara, серия, диаметр 26 см, алюминиевый корпус, крышка и съёмная ручка.
8	193	738734501683	0.4444444444444444	0	0.78	Состав набора похож, но указаны разные бренды Secret Beauty и MVA; доказательств одного товара недостаточно.
9	198	420906928470	0.4444444444444444	0	0.96	Разный источник питания: батарейки AAA у EKLOG против аккумулятора и USB-зарядки у второй модели.
10	198	515396118100	0.5555555555555556	1	0.84	Совпадают тип, предел 10 кг, точность 1 г, металлическая платформа, питание от двух AAA и общая конструкция.
11	198	790274029442	0.5555555555555556	1	0.82	Совпадают тип, предел 10 кг, точность 1 г, питание от двух AAA, металлическая платформа и близкие габариты.
12	198	798863927879	0.4444444444444444	0	0.96	Разный источник питания: батарейки AAA против аккумулятора с USB-зарядкой.
13	281	231928253328	0.5555555555555556	1	0.99	Точная модель Inphic W2; совпадают размеры, 7 кнопок, 12800 DPI, кабель 1.5 м и дополнительные функции.
14	285	781684095880	0.4444444444444444	1	0.66	Несмотря на разные автомобили в названии, совпадают размеры 650/400 мм, крепление, комплект из двух щёток и код семейства FB750; это один универсальный комплект с разной привязкой совместимости.
